"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"li-4422521561","linkedin","https://www.linkedin.com/jobs/view/4422521561","","Project Manager","Haystack","","2026-05-30","fulltime","","","","","",False,"mid-senior level","Project Management","","","We're hiring on behalf of a Haystack partner!
 



  





 The Role
 



 • Lead and coordinate projects within the building services engineering sector.
 



 • Develop and review technical concepts, plans, and tender documents.
 



 • Manage and monitor project timelines, budgets, and overall progress.
 



 • Collaborate effectively with architects, specialist planners, subcontractors, and clients.
 



 • Ensure quality assurance and adherence to relevant standards and regulations.
 



 • Support bid preparation and cost calculations.
 



  





 What You'll Need
 



 • Completed degree or master craftsman qualification in building services or electrical engineering.
 



 • Minimum of two years of project management experience in building services plant construction.
 



 • Proven ability to manage cross\\-trade projects.
 



 • Strong negotiation skills and teamwork capabilities.
 



 • Independent work style with excellent communication skills.
 



 • Familiarity with CAD software and project management tools is advantageous.
 



  





 What's On Offer
 



 • Competitive salary.
 



 • Secure, permanent employment with long\\-term projects and high order volume.
 



 • Flexible working hours and hybrid work options.
 



 • Opportunities for professional development and further training with cost coverage.
 



  





 Apply via Haystack today!","Technology, Information and Internet","https://uk.linkedin.com/company/wearehaystack","https://media.licdn.com/dms/image/v2/D4E0BAQFq9pcJGgSIpw/company-logo_100_100/company-logo_100_100/0/1661435358398/wearehaystack_logo?e=2147483647&v=beta&t=rujfUADbjJfzHP5KvyRjFwVpiCqcmuXrLF36sSaB1m8","","","","","","","","","","",""
"li-4412131761","linkedin","https://www.linkedin.com/jobs/view/4412131761","","Project Manager (m/f/d)","Exyte","Bad Homburg, Hesse, Germany","2026-05-30","fulltime","","","","","",False,"mid-senior level","Project Management and Information Technology","","lisamarie.kussmaul@exyte.net","**Discover your exciting role**
 As a project manager (m/f/d) at Exyte, you will take the lead in delivering high‑tech data center projects from planning to handover. You’ll drive budgets, schedules, and quality targets, ensure strict EHS compliance, and coordinate our network of partners and contractors. As the main contact for clients and suppliers, you provide clear performance reporting and keep projects on track by guiding cross‑functional teams and proactively resolving challenges.
   

  

**Explore Your Tasks And Responsibilities**
* Lead the planning, execution, and successful delivery of data center construction projects
* Own and manage project budgets, timelines, and quality benchmarks
* Ensure full compliance with Environmental, Health, and Safety (EHS) regulations
* Coordinate and oversee external planning partners, contractors, and suppliers
* Prepare and present monthly performance reports covering all project dimensions
* Serve as the primary point of contact for clients, suppliers, and subcontractors
* Conduct regular project reviews to track progress and proactively resolve issues
* Inspire and guide cross\\-functional teams to meet project goals and deadlines


**Show Your Expertise**
* Degree in Construction Management, Engineering, or a related field
* Demonstrated experience in project management with a focus on Data Centers or other large\\-scale projects
* Proven experience delivering complex industrial construction projects, ideally within high\\-tech, data center, or semiconductor sector
* Strong technical understanding of Electrical, Mechanical, and CSA components
* Fluent in English (written and spoken) and very good German skills
* Demonstrated success in leading projects to completion
* Excellent communication, leadership, and presentation skills


**Contact**
 You want to be part of the Exyte team? We look forward to receiving your application!
   

  

 For further questions and information, please do not hesitate to contact Lisa Kussmaul via E\\-Mail at lisamarie.kussmaul@exyte.net.
   

  

 Please note that we only consider applications submitted through our application portal. Applications sent via email will not be considered due to data protection regulations.","Civil Engineering","https://de.linkedin.com/company/exyte-group","https://media.licdn.com/dms/image/v2/C4E0BAQH876An2cAOgQ/company-logo_100_100/company-logo_100_100/0/1671631862911/exyte_group_logo?e=2147483647&v=beta&t=EA06o7-XDjHjBEvlyCBM9feUi_l4pYxqlpYgNBRupoU","","","","","","","","","","",""
"li-4326351385","linkedin","https://www.linkedin.com/jobs/view/4326351385","","Project Manager","Westinghouse Electric Company","Mannheim, Baden-Württemberg, Germany","2026-05-30","fulltime","","","","","",False,"mid-senior level","Project Management and Information Technology","","","At Westinghouse Electric Company, we are pioneers in nuclear technology and our technology is the basis for nearly half of the world's commercial nuclear power plants in operation. Today, we are also building several new reactors that contribute to more fossil\\-free energy. Globally, we have over 10,000 employees in 19 countries, of which 1,000 are at our Swedish workplaces in Västerås and Täby. Our Swedish operations were founded in 1969 and supply nuclear fuel as well as products and services in automation, maintenance, testing and decommissioning for customers around the world. Read more about us www.westinghousenuclear.com .
   

  

 Project Manager – Environmental Solutions (D\\&D Projects)
   

  

**Westinghouse Electric Company** 
**Mannheim**
**Welcome to the future of nuclear energy** 
 , where Westinghouse Electric Company is leading the field with expertise and innovation to shape the power of tomorrow.
   

  

 At Westinghouse, innovation is in our DNA. We are creative. We think differently. We reimagine the possible across the nuclear industry every day.
   

  

**About The Role**
 As a Project Manager you will lead major D\\&D projects in Germany, with budgets ranging from €25M to €120M. This position involves managing cross\\-functional teams of 10–30 professionals, including technical experts, site operations, and back\\-office functions (project controls, administration, procurement). You will ensure projects are delivered safely, on time, and within budget in a highly regulated environment.
   

  

 You will report to the Project Director and be located at Mannheim.
   

  

**Key Responsibilities**
* Lead all aspects of project execution: scope, schedule, cost, risk, procurement, quality, resources, and stakeholder engagement.
* Develop and maintain project management plans, baselines, and risk registers.
* Manage multidisciplinary teams in a matrix environment; foster collaboration and accountability.
* Oversee financial performance, forecasting, and reporting.
* Maintain strong relationships with clients, regulators, and internal stakeholders.
* Ensure compliance with safety, environmental, and regulatory requirements.
* Drive continuous improvement and lessons learned.


**Qualifications:**
* Education: Bachelor’s degree in Project Management, Engineering, Business, or related field. Preferred: Advanced degree.
* Experience: 5–10 years of project management experience in technical industries; proven track record managing large, complex projects (€25M–€120M).
* Certifications: PMI PMP or equivalent preferred.
* Languages: Fluent English and German required; Spanish, French, or Italian is a plus.
* Technical Skills: Advanced knowledge of scheduling and cost management tools (Primavera/MSP, SAP); proficiency in MS Office and data visualization tools; familiarity with risk management tools.
* Soft Skills: Strong leadership, strategic thinking, communication, and negotiation abilities.


**Why Westinghouse?**
 We know that to put forth your best effort, you need to be challenged and enjoy what you do in a supportive and respectful environment. We aim to maintain this balance by offering our employees the amenities, benefits and training they need to reach personal and professional goals.
   

  

**Below is an example of what employees in Germany can expect:** 
  

  

* Great benefits for your convenience and safety
+ Employee Assistance Program: confidential counseling and resources for employees, eligible dependents, and household members
+ Peer\\-to\\-peer recognition program.
+ Learning and development opportunities.

* We encourage our employees to participate in community service events and other team\\-building activities to strengthen their bonds and inspire each other.


**You can learn more about Westinghouse by visiting** 
 http://www.westinghousenuclear.com .
   

  

 Westinghouse is an Equal Opportunity Employer including Veterans and Individuals with Disabilities.
   

  

**Get connected with Westinghouse on social media:** 
**Twitter** 
**\\|** 
**Facebook** 
**\\|** 
**LinkedIn** 
**\\|** 
**YouTube**
**We Offer**
 At Westinghouse, we offer an inspiring work environment in a high\\-tech industry. You will be a part of a network of global experts from several different areas and we offer great opportunities for competence development and career growth, both in Sweden and abroad. As a member of our team, you will work together with engaged colleagues and be a part of an environment that is both challenging and supportive. Many of our positions are based in activity\\-based environments which enables a flexible workplace.
   

  

 At Westinghouse, we have a strong safety culture.
   

  

 Westinghouse is an employer that treats everyone equally.
   

  

**Some of the benefits employees in the Sweden can expect:**
* Wellness Allowance
* Flexible pay opportunities via our Benefit portal
* Work hour reduction (ATF) and occupational pension (ITP)
* ASB Insurance: compensation for the cost of health care, dental care hearing aids, glasses and more
* Employee Assistance Program: confidential counseling and resources for employees, eligible dependents, and household members
* Employee Referral Program: potential for employees to earn a monetary award for referring other qualified candidates to Westinghouse


**Get connected with Westinghouse on social media:** 
**Twitter** 
**\\|** 
**Facebook** 
**\\|** 
**LinkedIn** 
**\\|** 
**YouTube**","Utilities","https://www.linkedin.com/company/westinghouse-electric-company","https://media.licdn.com/dms/image/v2/C560BAQFWaS02vzdXNg/company-logo_100_100/company-logo_100_100/0/1649970263603/westinghouse_electric_company_logo?e=2147483647&v=beta&t=8n78RMtzvYGeTX0LYuEht-OmpF6ouRj2pk8g_ydvetM","","","","","","","","","","",""
"li-4417935749","linkedin","https://www.linkedin.com/jobs/view/4417935749","","Project Manager (m/w/d)","shyftplan","Berlin, Berlin, Germany","2026-05-29","fulltime","","","","","",False,"associate","Project Management and Information Technology","","","**Your playground**
 Als Project Manager (m/w/d) bist du der strategische Taktgeber für die wichtigste Phase der Customer Journey. Du übernimmst die Regie ab Vertragsabschluss, navigierst unsere Kunden durch die Implementierung und stellst sicher, dass unsere Software punktgenau zum Einsatz kommt. Begleite uns auf dem Weg, die \\#1\\-Schichtplanungslösung für Industriekunden zu werden, und werde Teil eines dynamischen Teams mit der Mission, eine faire, transparente Schichtplanung!
   

  

* Projektmanagement: Führe anspruchsvolle Rollouts bei Top\\-Kunden mit bestimmter und kooperativer Projektsteuerung durch
* Solution Scoping \\& Problem Solving: Identifiziere und gestalte gemeinsam mit unseren Kunden den optimalen Einsatz von shyftplan mit Integration in bestehende Systemlandschaften
* On\\-Site Workshops: Leite Workshops in der Onboardingphase für Key User und Projektteams \\- solo und mit Kollegen
* AI tooling \\& Innovation: Gestalte eigene AI\\-basierte Lösungen und internes Tooling mit, um unsere Onboarding\\-Prozesse technologisch führend und hochgradig effizient zu gestalten


**Your profile**
* Du hast ein abgeschlossenes Studium – gern in Wirtschaft, Informatik oder einem MINT\\-Fach
* Du bringst einschlägige Erfahrungen im Projektmanagement mit (z. B. Consulting, Konzern, Agentur)
* Im Kontakt mit Kund:innen trittst du souverän und klar auf
* Du arbeitest gern im Team, bist offen für Austausch und Feedback
* Digitale Tools und Software begeistern dich
* Du denkst analytisch, entscheidest pragmatisch und packst hands\\-on mit an
* Für Kundentermine bist du gelegentlich reisbereit


**Our perks**
* Eine abwechslungsreiche Tätigkeit und ein motiviertes, internationales Team
* Volle Integration ab dem 1\\. Tag und tiefe Einblicke in den Alltag eines Tech\\-Startups
* Ein modernes, offenes Büro im Herzen Kreuzbergs
* Zahlreiche Benefits wie Deutschlandticket, Urban Sports Club \\& Mobilitätsbudget
* Regelmäßige Teamevents (Kart fahren, Escape Room, Sommerfest..) und Company Lunches


**About Us**
 https://careers.shyftplan.com
   

  

 https://shyftplan.com/impressum","Software Development","https://de.linkedin.com/company/shyftplan","https://media.licdn.com/dms/image/v2/C4E0BAQEV-o7gEexFFw/company-logo_100_100/company-logo_100_100/0/1680004336226/shyftplan_logo?e=2147483647&v=beta&t=KGwAJt8GQQnD_nReDE6S9ukCQX_5pFK-hnpL6PdYYoI","","","","","","","","","","",""
"li-4422006049","linkedin","https://www.linkedin.com/jobs/view/4422006049","","Project Manager (f/m/d) - Root Cause Analysis","Siemens Energy","Berlin, Berlin, Germany","2026-05-29","fulltime","","","","","",True,"associate","Project Management","","","**A Snapshot of Your Day**
 Are you passionate about analyzing problems and making a real impact fleet issue resolution of our Gas Service products?
   

  

 Join our Gas Services Operational Excellence team as a Project Manager Root Cause Analysis (f/m/d).
   

  

 In this role, you will play a key part in driving teams to identify root causes for technical challenges. Working closely with cross\\-functional and international teams, you will lead systematic root cause analysis. Ideally, you already bring experience with methods such as Kepner\\-Tregoe, Apollo, Fishbone analysis —or you are eager to expand your expertise with the support of our experienced team of experts.
   

  

**How You’ll Make An Impact**
* Lead and drive Root Cause Analysis (RCA) investigations on time, ensuring holistic view, working closely with cross\\-functional teams to set the basis for solving challenging technical issues sustainably.
* Apply structured problem\\-solving methodologies (e.g., Kepner\\-Tregoe, Apollo) to identify, analyze, and validate root causes.
* Facilitate workshops and RCA sessions, creating an environment where teams collaborate effectively, stay focused, and achieve results.
* As part of our RCA Resource pool, share your expertise by mentoring and coaching colleagues, actively contributing to increasing our RCA Resource pool.
* PM Skill, documentation, planning, oversight…. Communication to stakeholders and customers to present status and results.


**What You Bring**
* Bachelor's degree in engineering; 5\\+ years of experience
* High level of ownership with a proactive drive to lead end\\-to\\-end the root cause analysis
* Strong critical thinking and analytical capabilities to identify true root causes by guiding cross\\-functional teams
* Project management skills \\- Structured working style with solid planning, documentation, and application of methodologies
* Ability to engage and facilitate cross\\-functional teams, ensuring active contribution, alignment, and accountability throughout the RCA process
* Continuous learning mindset combined with strong facilitation and coaching skills to build organizational capability in structured problem solving


**About The Team**
 Our Gas Services division offers Low\\-emission power generation through service and decarbonization. Zero or low emission power generation and all gas turbines under one roof, steam turbines and generators. Decarbonization opportunities through service offerings, modernization, and digitalization of the fleet.
   

  

**Who is Siemens Energy?**
 At Siemens Energy, we are more than just an energy technology company. With \\~100,000 dedicated employees in more than 90 countries, we develop the energy systems of the future, ensuring that the growing energy demand of the global community is met reliably and sustainably. The technologies created in our research departments and factories drive the energy transition and provide the base for one sixth of the world's electricity generation. Our global team is committed to making sustainable, reliable, and affordable energy a reality by pushing the boundaries of what is possible. We uphold a 150\\-year legacy of innovation that encourages our search for people who will support our focus on decarbonization, new technologies, and energy transformation. Find out how you can make a difference at Siemens Energy: https://www.siemens\\-energy.com/employeevideo
   

  

**Rewards/Benefits**
* In addition to an attractive remuneration package in line with the market, you can expect an attractive employer\\-financed company pension scheme
* We also offer the opportunity to become a Siemens Energy shareholder
* We offer our employees the opportunity to work flexibly and remotely, and our inspiring offices provide space for collaboration and creativity
* The professional and personal development of our employees is very important to us. We provide them with the opportunities to learn and develop in a self\\-determined way, various attractive programmes and learning materials are available for this purpose
* In relation to the ""compatibility of family and work"", we have a wide range of offers, e.g. flexible working time models, childcare places at many locations, the possibility of trial part\\-time work or even a sabbatical


**Jobs \\& Careers:** 
 https://jobs.siemens\\-energy.com/jobs
   

  

 \\#RPO","Appliances, Electrical, and Electronics Manufacturing","https://www.linkedin.com/company/siemens-energy","https://media.licdn.com/dms/image/v2/D4E0BAQHJrmcq29R6nA/company-logo_100_100/B4EZfEvuGOGwAQ-/0/1751352533824/siemens_energy_logo?e=2147483647&v=beta&t=AZ1foBZGusbDa1QrHqsc4J3zlTv3NdMDaqMUalxDhzQ","","","","","","","","","","",""
"li-4420960325","linkedin","https://www.linkedin.com/jobs/view/4420960325","","Senior Project Manager","NetZero","Berlin, Germany","2026-05-29","fulltime","","","","","",False,"mid-senior level","Consulting and Engineering","","","Senior Project Manager – Data Centres \\| Europe \\| Rotation
 



  





 We are currently recruiting for an experienced Senior Project Manager to support the delivery of major Data Centre projects across Germany, Sweden, and Finland.
 



  





 Working for a specialist building envelope contractor, this role will involve leading projects through delivery, managing teams, driving programme milestones, and ensuring the highest standards of safety, quality, and client satisfaction.
 



  





 Requirements:
 



 • Senior Project Management experience within construction
 



 • Building envelope / façade / roofing experience preferred
 



 • Data Centre or mission critical project experience desirable
 



 • Strong leadership and stakeholder management skills
 



  





 What’s on Offer:
 



 • Major European Data Centre projects
 



 • 3\\-week rotation
 



 • Travel and accommodation covered
 



 • Competitive salary/package
 



 • Long\\-term project pipeline
 



  





 Apply or get in touch for a confidential discussion. My email is cameron@net\\-z.co.uk","Staffing and Recruiting, Engineering Services, and Construction","https://uk.linkedin.com/company/net-zero-ltd","https://media.licdn.com/dms/image/v2/D4E0BAQG8a7pESaNJtw/company-logo_100_100/company-logo_100_100/0/1666963521172/net_zero_ltd_logo?e=2147483647&v=beta&t=oGekav338yNvEdqbg-RUhgzAKrm84AixbQ-PjSQvk2c","","","","","","","","","","",""
"li-4409629041","linkedin","https://www.linkedin.com/jobs/view/4409629041","","Project Manager","QCS Staffing","Berlin, Berlin, Germany","2026-05-29","fulltime","","","","","",False,"mid-senior level","Project Management and Information Technology","","","**Project Manager (German\\-speaking) \\- Berlin, Germany \\- 18 Month Contract**
 Our client is a long‑established European construction and engineering group operating across infrastructure, mobility, renewable energy, and major civil engineering. Known for its advanced use of precast technology, BIM, and lean methods, it delivers complex, high‑value projects efficiently. With several thousand employees and international operations, it has a strong reputation for innovation in modern construction.
   

  

 They are looking for a Project Manager, to help assist their project based in Berlin.
   

  

**What You'll Do**
* Independent and self\\-reliant preparation and execution of demanding engineering / railway construction projects
* Comprehensive construction project management and control of subcontractor services
* Management and development of construction site personnel – including deployment planning as well as motivation and promotion of professional qualifications
* Responsible for ensuring compliance with quality, schedule and cost requirements throughout all project phases.


**What you'll need:**
* Professional experience in the independent management of construction projects in the field of civil engineering / or railway construction (€50m )
* Fluent in German.
* Confident handling of the RIB iTWO construction software
* Good knowledge of the application of MS365, especially MS Office and MS Project.


**If this role is of interest, apply now!**","Staffing and Recruiting","https://uk.linkedin.com/company/qcs-staffing","https://media.licdn.com/dms/image/v2/D4E0BAQG79r30F4LDqw/company-logo_100_100/B4EZyO.3eFJcAU-/0/1771925371176/qcs_staffing_logo?e=2147483647&v=beta&t=ovZziA4l49aejZLWW19FE5e7coGFnYV28khCVImbP7k","","","","","","","","","","",""
"li-4402727026","linkedin","https://www.linkedin.com/jobs/view/4402727026","","Project Manager Tracker (all genders)","Frequentis","Karlsruhe, Baden-Württemberg, Germany","2026-05-29","fulltime","","","","","",False,"mid-senior level","Project Management and Information Technology","","","Job Introduction
   

  

 Even though we maintain our feet on the ground, our second home will always remain in the sky. As a medium\\-sized IT company situated in Karlsruhe Germany, developing tailored solutions for global air traffic control authorities is our forte. Our contribution to Flight security, can be found in our systems that operate at various flight control centres and airports, located in more than 80 countries of the world. FREQUENTIS COMSOFT is part of the successful Frequentis group, situated in Vienna, Austria. More information about us on our Youtube Channel.
   

  

 So, are you ready to take off?
   

  

 Key Tasks
   

  

* You will take over the management of strategic, complex, international projects for the delivery of services, products and solutions for our customers.
* You are responsible for the success of this project in terms of time, costs, quality and customer satisfaction.
* You will lead and motivate project teams in a matrix organization.
* You ensure coordination, communication, and agreement with all relevant stakeholders.
* You are responsible for the management of subcontractors and partners.
* You support the continuous improvement of our service provision.
* You support the sales department in the preparation of offers and take responsibility for project planning.


**Key Qualifications**
* You can look back on several years of experience in the successful management of complex, international customer projects and preferably have a degree in business administration or technical studies.
* You are business fluent in German and English; additional foreign languages are an advantage.
* Ideally, you have experience in the aviation sector.
* You have experience in setting up and leading project organizations; a relevant project management certification (e.g. PMP) is an advantage.


 Our Values
   

  

 At Frequentis Comsoft, we are convinced that people deliver their best results when working in a company that suits them. Our employees all want to make a difference and to take responsibility for their work. We also firmly believe that as a company, we are stronger when people from diverse backgrounds actively contribute to the business. In addition to professional qualifications, we rely on good ideas, commitment and personal responsibility. We are always seeking bright minds, experts and lateral thinkers of every type, all of whom share an enthusiasm for making global air traffic even safer.
   

  

**Benefits**
 We offer attractive employee packages, where financial rewards are just as important as other benefits, including a 30\\-day annual leave allowance, sports and health programs, and JobRad bicycle leasing. The work\\-life balance of our employees is particularly important to us. We believe that private and family needs should be fully compatible with the daily work routine and that our employees should feel able to meet personal commitments even during standard working hours. This is another reason why flexitime and virtual working models come as standard at Frequentis Comsoft. In addition, our spacious and quiet offices, in which a maximum of four colleagues sit together, provide a calm and productive working environment. We are also guided by the principle of “healthy mind in a healthy body”. Our staff can train before or after work in our in\\-house gym or participate in sports courses. In addition, we regularly participate in various sports activities to promote team spirit and celebrate shared successes. A range of annual parties and events – for example, on our beautiful roof terrace – strengthen our sense of corporate community.
   

  

 FLEXIBLE, FAMILY FRIENDLY LIVELY, OPEN PERMANENT INTERNATIONAL COMPANY OFFICES WITH
   

  

 ROOFTOP FREE CORPORATE EASY ACCESS WORKING HOURS CULTURE EMPLOYMENT CONTRACTS CAREER OPORTUNITIES GYM MAX. 4 PERSONS TERRACE BEVERAGES EVENTS TO PUBLIC TRANSPORT","IT Services and IT Consulting","https://at.linkedin.com/company/frequentis","https://media.licdn.com/dms/image/v2/C4E0BAQFkLjbCWzjRRw/company-logo_100_100/company-logo_100_100/0/1631307710127?e=2147483647&v=beta&t=gDS9pA65Yn_JWLYX_VfSLPQX5i4NiFnTUARSuXjlgfc","","","","","","","","","","",""
"li-4422013065","linkedin","https://www.linkedin.com/jobs/view/4422013065","","Project Manager","Geek+","Düsseldorf, North Rhine-Westphalia, Germany","2026-05-29","fulltime","","","","","",False,"mid-senior level","Project Management","","","Geek\\+ is a global technology company specialized in smart logistics. We apply advanced robotics and artificial intelligence technologies to create solutionsfor warehouse and factory operations.
 



  





 With the rise of e\\-commerce and the demand for a faster and more flexible movement of goods, warehouse and manufacturing operators are facing increasingly complex production and logistic challenges today. Speed, product diversification, same\\-day delivery, volume, safety… these concerns are impacting a wide range of industries, from apparel, retail, automotive, to even electronics, energy and pharmaceutical industries.
 



  





 Geek\\+ was founded to be the solution to these problems. We make logistics affordable, efficient, flexible, safe and agile. Our vision is to establish a fully automatedand intelligent supply chain globally.
 



  





**Responsibility** 



* Lead the complete project life cycle from kick off to handover
* Act as the main point of contact for ALL aspects during project delivery
* Align project scope, schedule and resource planning with sales and other functional teams
* Create and own project communication plans (internal \\& external)
* Motivate project team and facilitate on\\-time delivery of project team’s deliverables
* Work at least 50% onsite during installation and testing phases
* Plan project budget and manage project margin
* Actively manage project finance including invoicing, milestone payments, freight, travel expenses, change orders and contractor payments
* Control project scope and manage scope change process with client



  





**Required Skill and Capability** 



* Bachelor's degree in Logistics, Supply Chain Management, Robotic Automation, IT, Mechanical or Electrical Engineering.
* At least 3 years of project management experience. Knowledge of warehouse management, logistics solutions, 3PL, automation, or related fields.
* Business fluency in English, other European language is a plus
* Excellent communication and presentation skill
* Proficiency in AutoCAD, WMS, or other IT infrastructure
* Accept business travel frequently across EMEA region (up to 60\\-80% of the time)



  





**Preferred qualifications, capabilities, and skills** 



* Have a sense of responsibility, work conscientiously and responsibly
* Outstanding resilience, capable of maintaining composure in fast\\-paced work environments
* Ability to prioritize multiple complex situations to deliver successful results
* Strong and effective skills in problem solving","Transportation, Logistics, Supply Chain and Storage","https://www.linkedin.com/company/geekplusrobotics","https://media.licdn.com/dms/image/v2/C560BAQGU01Hx17f3NA/company-logo_100_100/company-logo_100_100/0/1630665232978/geekplusrobotics_logo?e=2147483647&v=beta&t=MKn8xxro5vZ_ErWRqtCxwArmhU87H4apIpPFl1dCtZk","","","","","","","","","","",""
"li-4410806802","linkedin","https://www.linkedin.com/jobs/view/4410806802","","Project Manager - Development","CloudHQ, LLC","Frankfurt, Hesse, Germany","2026-05-29","fulltime","","","","","",False,"mid-senior level","Project Management and Information Technology","","","**Description**
 The Project Manager will be a critical member of the CloudHQ (CHQ) Development across the EMEA region, responsible for the pre\\-construction phase of hyperscale data centre projects.
   

  

 The Project Manager is responsible for leading projects from site identification and due diligence through planning, design development, and contractor procurement, ensuring that projects are fully defined, supported by robust cost planning and commercial decision\\-making to ensure that they are de\\-risked prior to construction.
   

  

 While focused on pre\\-construction, the role requires a strong understanding of the full project lifecycle\\- construction delivery, commissioning, and operations, ensuring early decisions translate into successful project execution.
   

  

 This position requires a developer mindset, balancing technical, commercial, planning, and stakeholder considerations to inform project decisions and define project directions at the earliest stages.
   

  

**Requirements**
* Establish project leadership, build and leverage partnerships with internal teams (development, construction, operations, finance, legal) and external stakeholders (consultants, authorities having jurisdiction, utilities providers, project partners, contracts);
* Lead project governance, reporting and approvals processes;
* Ensure clear communication of project status, risks and identify where key decisions can be made or escalation to executive leadership is required;
* Lead projects from early\\-stage feasibility through to construction readiness;
* Define and manage scope, budget, programme, and development strategy;
* Lead \\[support the coordination of] and coordinate site due diligence, working with site selection, legal, technical and consultant teams to ascertain:
* Test\\-fit feasibility with regard to tenant requirements, planning and zoning constraints
* Power, water, fibre and infrastructure availability
* Environmental, legal, commercial and technical risks
* Confirm alignment with project business cases and manage internal investment approvals.
* Subsequently, with technical teams, lead the development of concept, basis of design, and detailed design packages;
* Manage and coordinate multi\\-disciplinary consultants (architects, engineers, planners, project \\& cost management consultants);
* With consultant support, develop and manage development budgets and ensure cashflow alignment;
* Coordination and management of internal and external resources, and driving results in:
* Change management;
* Procurement, confirming strategies, scope definitions and ensure Employer’s Requirements are complied with;
* Pro\\-active management of market conditions and ensure agile approach to adaption (supply chain, contractor availability, utilities constraints);
* Goal alignment/Stakeholder management;
* Risk identification and ensuring appropriate mitigation measures are in place;
* Establish reporting protocols on scope and schedule as required, ensuring effective reporting to senior leadership;
* Ensure establishment of a robust and detailed project programme that can be used to negotiate lease agreements with hyperscale tenants;
* Ensure delivery awareness, applying practical understandings of construction sequencing and logistics, commissioning and integration of systems to be able to handover to operational teams
* Ensure projects are fully prepared for construction delivery prior to handover, liaising with the construction delivery team to ensure continuity and intent is preserved;
* Ensuring compliance to Environmental, Health \\& Safety (EHS) regulations, and requirements. Help promote a safe working environment for all team members, colleagues, contractors, and customers.
* Challenge and remove barriers by working with others around a shared need or customer benefit. Be proactive in driving for the best solutions for our customers;
* Ability to maintain a broader perspective, identify and evaluate opportunities to enhance the business through cross\\-group collaboration. This should not be limited to your specialism but be across all disciplines;
* Liaise with our customers to assist them in the delivery of their preferred solutions into CHQ Data Centers and be part of the team that makes us the data centre provider of choice;
* Consult with global CHQ colleagues to ensure that best practice is uniform across all our developments, irrespective of geographic location;
* Champion CHQ initiatives on all projects; and
* Adhere to and promote the core values of CHQ.


**Job Qualifications**
**Education:** 
 A degree is preferred but not essential. Industry recognised project management qualifications are desirable, but the core requirement for this role is substantial, demonstrable experience in delivering complex projects.
   

  

**Experience** 
 : Minimum 8\\+ years of experience in Data Centre, critical infrastructure or complex real\\-estate development projects (e.g. pharmaceutical, semi\\-conductor).
   

  

 Strong experience in pre\\-construction, development and early lifecycle roles with exposure to utilities strategy, planning/permitting systems and different contracting models.
   

  

**Required Knowledge/Skills/Abilities**
* Strong knowledge and understanding of construction across EMEA;
* Strong experience managing multiple major projects effectively;
* Working knowledge of construction contracts used across EMEA;
* Ability to work cross\\-functionally with a team, as well as work independently applying individual expertise;
* Excellent communication skills and the ability to collaborate;
* Critical thinker and problem solver;
* Strong interpersonal skills with the ability to effectively interface directly with customers;
* Comfortable with high exposure to executive leadership to drive strategic development decisions;
* Willingness to travel locally and internationally (EMEA) on a regular basis, with a valid passport and awareness of visa requirements and Schengen travel limitations;
* Strong commercial and financial acumen;
* Proficiency with MS Office;
* Experience with Scheduling/Programming software and analysis;
* Ability to function effectively in a fast\\-paced environment, recognising needs to work outside of normal business hours due to global business needs;
* High attention to detail with ability to think strategically and understand wider business objectives.","Real Estate","https://www.linkedin.com/company/cloudhq-llc","https://media.licdn.com/dms/image/v2/C560BAQFBltClk0cFtg/company-logo_100_100/company-logo_100_100/0/1631394148908?e=2147483647&v=beta&t=dNHjn3dYuL6Ai8GE3caWZnvOuNm4uLCpnvJCQv2C6ok","","","","","","","","","","",""
